StatID,Scope,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Updated,GameID,OpponentID,Opponent,OpponentStatID,Day,DateTime,HomeOrAway,IsGameOver,Games,Started,LineupConfirmed,LineupStatus,FantasyPoints,FanDuelSalary,DraftKingsSalary,YahooSalary,FantasyDataSalary,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,ThreePointersMade,ThreePointersAttempted,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,PlusMinus,BlocksAgainst,DoubleDoubles,TripleDoubles,PlayerEfficiencyRating,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,Possessions,Wins,Losses,InjuryStatus,InjuryBodyPart,InjuryNotes,InjuryStartDate,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,FanDuelPosition,DraftKingsPosition,YahooPosition,DivisionWins,DivisionLosses,ConferenceWins,ConferenceLosses,OpponentRank,OpponentPositionRank,OpponentPosition,FantasyDraftSalary,FantasyDraftPosition,FantasyPointsFantasyDraft,,Closed,
9167,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,356,23,NO,NULL,12/7/14,30:00.0,HOME,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
9612,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,371,30,SAC,NULL,12/9/14,30:00.0,HOME,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
10313,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,395,24,SA,NULL,12/12/14,30:00.0,AWAY,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
10668,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,407,16,MIN,NULL,12/14/14,00:00.0,AWAY,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
10818,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,412,13,IND,NULL,12/15/14,00:00.0,AWAY,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
11905,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,448,18,OKC,NULL,12/19/14,30:00.0,HOME,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
12308,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,461,30,SAC,NULL,12/21/14,00:00.0,AWAY,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
12943,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,482,26,GS,NULL,12/23/14,30:00.0,HOME,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
13048,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,486,11,CHI,NULL,12/25/14,00:00.0,AWAY,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
13492,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,495,25,DAL,NULL,12/26/14,30:00.0,AWAY,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
14070,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,514,29,PHO,NULL,12/28/14,30:00.0,HOME,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
14438,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,527,20,DEN,NULL,12/30/14,00:00.0,AWAY,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
15133,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,550,21,MEM,NULL,1/2/15,30:00.0,HOME,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
15548,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,564,13,IND,NULL,1/4/15,30:00.0,HOME,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
15799,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,573,19,POR,NULL,1/5/15,00:00.0,AWAY,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
16292,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,590,28,LAC,NULL,1/7/15,30:00.0,AWAY,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
16714,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,604,5,ORL,NULL,1/9/15,30:00.0,HOME,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
17122,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,618,19,POR,NULL,1/11/15,30:00.0,HOME,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
17442,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,629,4,MIA,NULL,1/13/15,30:00.0,HOME,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
17822,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,642,12,CLE,NULL,1/15/15,30:00.0,HOME,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
37283,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,653,17,UTA,NULL,1/16/15,00:00.0,AWAY,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
18794,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,677,29,PHO,NULL,1/19/15,00:00.0,AWAY,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
19062,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,686,23,NO,NULL,1/21/15,00:00.0,AWAY,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
19588,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,704,24,SA,NULL,1/23/15,30:00.0,AWAY,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
20159,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,723,22,HOU,NULL,1/25/15,30:00.0,HOME,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
20479,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,736,1,WAS,NULL,1/27/15,30:00.0,HOME,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
20918,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,751,11,CHI,NULL,1/29/15,30:00.0,HOME,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
21547,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,773,6,NY,NULL,2/1/15,00:00.0,AWAY,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
22134,PlayerGame,27,20000710,1,2015,Julius Randle,LAL,PF,40:21.5,793,15,MIL,NULL,2/4/15,00:00.0,AWAY,1,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,
